Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
0.035	0.425	0.0088	0.856	-0.0093	1.78	-0.0145	1.456	-0.0048	2.581	0.0429	3.28	0.0517	4.412	0.0073	4.823	0.0459	3.848	0.0499	4.65	-0.0507
0.036	0.53	0.0109	0.757	-0.0084	1.609	-0.0154	1.55	0.0151	2.981	0.0323	3.687	0.0303	4.126	-0.0332	4.916	-0.0063	4.554	0.0722	4.137	-0.0486
0.037	0.601	0.0046	0.687	-0.0048	1.441	-0.0148	1.832	0.0303	3.067	-0.0018	3.682	-0.0124	3.733	-0.0356	4.519	-0.0389	4.963	0.0659	3.795	-0.0226
0.038	0.568	-0.0036	0.705	0.0055	1.279	-0.0148	2.198	0.0354	2.824	-0.0235	3.356	-0.0296	3.349	-0.0359	4.083	-0.0407	4.963	0.016	3.891	0.0224
0.039	0.515	-0.0045	0.83	0.0145	1.146	-0.0102	2.464	0.0191	2.548	-0.0247	3.025	-0.0302	2.975	-0.035	3.653	-0.041	4.963	-0.0414	4.44	0.0626
0.04	0.463	-0.0042	1.014	0.0188	1.134	0.0037	2.424	-0.0126	2.282	-0.0244	2.701	-0.0302	2.685	-0.0214	3.243	-0.0383	4.819	-0.0462	4.963	0.0813
0.041	0.413	-0.0042	1.17	0.0121	1.286	0.0191	2.203	-0.0193	2.024	-0.0241	2.397	-0.0274	2.684	0.01	2.992	-0.0157	4.328	-0.0462	4.963	0.0617
0.042	0.367	-0.0039	1.162	-0.0057	1.552	0.0278	1.984	-0.0196	1.839	-0.0126	2.232	-0.0084	3.031	0.0414	3.103	0.0218	3.85	-0.0459	4.963	0.0006
0.043	0.333	-0.0015	1.056	-0.009	1.833	0.0242	1.769	-0.0196	1.874	0.0103	2.354	0.0206	3.601	0.0583	3.579	0.0532	3.475	-0.029	4.963	-0.048
0.044	0.352	0.0043	0.954	-0.009	1.927	0.0022	1.569	-0.0178	2.152	0.0323	2.748	0.0435	4.181	0.0508	4.244	0.0665	3.45	0.0097	4.963	-0.051
0.045	0.428	0.0094	0.851	-0.0093	1.782	-0.0145	1.458	-0.0054	2.57	0.0429	3.275	0.0517	4.409	0.0085	4.821	0.0459	3.856	0.0499	4.647	-0.0507
0.046	0.537	0.0112	0.755	-0.0084	1.612	-0.0151	1.548	0.0148	2.971	0.0327	3.688	0.0311	4.129	-0.0329	4.914	-0.006	4.557	0.0716	4.132	-0.0486
0.047	0.611	0.0052	0.685	-0.0045	1.444	-0.0154	1.827	0.0303	3.064	-0.0012	3.689	-0.0121	3.735	-0.0356	4.519	-0.0392	4.963	0.0656	3.791	-0.0226
0.048	0.579	-0.0036	0.706	0.0061	1.282	-0.0148	2.193	0.0354	2.826	-0.0235	3.364	-0.0293	3.352	-0.0362	4.081	-0.0407	4.963	0.0157	3.889	0.0224
0.049	0.526	-0.0039	0.833	0.0145	1.15	-0.0102	2.46	0.0194	2.551	-0.025	3.032	-0.0308	2.981	-0.035	3.653	-0.0407	4.963	-0.0414	4.438	0.0629
0.05	0.473	-0.0045	1.018	0.0191	1.137	0.004	2.426	-0.0121	2.285	-0.0247	2.707	-0.0302	2.685	-0.0217	3.241	-0.0383	4.818	-0.0462	4.963	0.0813
0.051	0.423	-0.0042	1.175	0.0121	1.29	0.0191	2.204	-0.0196	2.027	-0.0238	2.403	-0.0274	2.678	0.0091	2.991	-0.0157	4.324	-0.0462	4.963	0.0617
0.052	0.375	-0.0042	1.167	-0.0054	1.556	0.0278	1.985	-0.0196	1.839	-0.013	2.238	-0.0084	3.019	0.0402	3.098	0.0215	3.848	-0.0456	4.963	0.0006
0.053	0.34	-0.0015	1.06	-0.009	1.836	0.0242	1.771	-0.0199	1.871	0.01	2.359	0.02	3.587	0.058	3.575	0.0532	3.471	-0.0293	4.963	-0.048
0.054	0.353	0.0037	0.959	-0.009	1.933	0.0024	1.572	-0.0178	2.146	0.0318	2.748	0.0432	4.169	0.0517	4.238	0.0659	3.444	0.0097	4.963	-0.0507
0.055	0.426	0.0088	0.855	-0.009	1.792	-0.0145	1.462	-0.0054	2.565	0.0426	3.271	0.0511	4.413	0.01	4.816	0.0463	3.847	0.0496	4.645	-0.0507
0.056	0.53	0.0106	0.757	-0.0087	1.62	-0.0151	1.551	0.0148	2.967	0.0333	3.679	0.0305	4.143	-0.0326	4.911	-0.006	4.549	0.0719	4.133	-0.0486
