Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
7.7	0.549	-0.0039	1.091	-0.0084	1.307	0.0197	1.706	-0.0196	2.835	-0.0235	2.45	0.0281	4.317	0.0387	3.523	0.0511	4.057	-0.0462	4.963	0.0085
7.701	0.497	-0.0045	0.987	-0.009	1.579	0.0281	1.519	-0.0157	2.56	-0.025	2.899	0.0472	4.364	-0.0099	4.183	0.0662	3.61	-0.0401	4.963	-0.0474
7.702	0.444	-0.0042	0.884	-0.009	1.856	0.0242	1.463	0.0003	2.292	-0.0244	3.425	0.0496	3.993	-0.0347	4.788	0.0505	3.403	-0.0084	4.963	-0.0507
7.703	0.396	-0.0042	0.784	-0.009	1.946	0.0015	1.614	0.02	2.035	-0.0238	3.735	0.0194	3.605	-0.0365	4.945	-0.0003	3.635	0.0339	4.712	-0.051
7.704	0.352	-0.0033	0.7	-0.0063	1.799	-0.0145	1.927	0.0327	1.849	-0.0126	3.599	-0.0244	3.22	-0.0356	4.573	-0.0389	4.237	0.065	4.191	-0.0495
7.705	0.334	0.0003	0.688	0.0022	1.626	-0.0151	2.287	0.0339	1.886	0.0109	3.265	-0.0302	2.859	-0.0332	4.134	-0.0407	4.963	0.074	3.819	-0.0266
7.706	0.376	0.0067	0.785	0.0124	1.457	-0.0154	2.484	0.0112	2.165	0.0321	2.934	-0.0302	2.647	-0.0121	3.703	-0.041	4.963	0.0408	3.866	0.0182
7.707	0.468	0.0103	0.959	0.0182	1.292	-0.0148	2.363	-0.0172	2.585	0.0432	2.614	-0.0299	2.767	0.0215	3.292	-0.0389	4.963	-0.0199	4.38	0.0595
7.708	0.576	0.0103	1.137	0.0157	1.161	-0.0105	2.141	-0.0196	2.981	0.0321	2.328	-0.0241	3.208	0.0487	3.011	-0.0187	4.963	-0.0456	4.963	0.0807
7.709	0.608	0	1.179	-0.0009	1.146	0.0043	1.925	-0.0196	3.071	-0.0012	2.238	-0.0009	3.809	0.0595	3.084	0.0179	4.551	-0.0462	4.963	0.0659
7.71	0.559	-0.0039	1.081	-0.0084	1.302	0.0194	1.712	-0.0193	2.828	-0.0238	2.444	0.0278	4.306	0.0387	3.525	0.0508	4.069	-0.0462	4.963	0.0073
7.711	0.507	-0.0045	0.977	-0.0093	1.574	0.0278	1.522	-0.0157	2.552	-0.0247	2.89	0.0472	4.357	-0.0093	4.179	0.0659	3.619	-0.0401	4.963	-0.0474
7.712	0.454	-0.0042	0.874	-0.0087	1.851	0.0242	1.462	0	2.286	-0.0247	3.413	0.0493	3.983	-0.0347	4.78	0.0499	3.413	-0.0087	4.963	-0.051
7.713	0.404	-0.0045	0.775	-0.009	1.945	0.0022	1.609	0.0197	2.029	-0.0238	3.727	0.0197	3.599	-0.0365	4.931	-0.0003	3.636	0.033	4.703	-0.051
7.714	0.358	-0.0033	0.694	-0.006	1.799	-0.0145	1.92	0.0323	1.839	-0.0133	3.591	-0.025	3.214	-0.0353	4.563	-0.0389	4.233	0.0647	4.183	-0.0495
7.715	0.338	-0.0003	0.685	0.0027	1.627	-0.0154	2.28	0.0336	1.87	0.0103	3.258	-0.0296	2.853	-0.0329	4.122	-0.0407	4.963	0.0731	3.811	-0.0259
7.716	0.376	0.0061	0.784	0.0127	1.457	-0.0154	2.478	0.0112	2.145	0.0321	2.928	-0.0308	2.634	-0.0126	3.693	-0.0407	4.963	0.0405	3.862	0.0182
7.717	0.463	0.0097	0.96	0.0185	1.294	-0.0148	2.357	-0.0172	2.57	0.0435	2.609	-0.0299	2.749	0.0212	3.281	-0.0389	4.963	-0.0202	4.376	0.0595
7.718	0.567	0.01	1.143	0.016	1.162	-0.0099	2.136	-0.0196	2.977	0.0333	2.324	-0.0244	3.187	0.0487	2.998	-0.019	4.963	-0.0453	4.963	0.081
7.719	0.598	0	1.19	-0.0003	1.151	0.0043	1.92	-0.0196	3.079	0	2.232	-0.0006	3.792	0.0604	3.064	0.0175	4.538	-0.0465	4.963	0.0656
7.72	0.548	-0.0036	1.092	-0.0084	1.306	0.0194	1.707	-0.0193	2.841	-0.0238	2.438	0.0278	4.305	0.0399	3.506	0.0508	4.056	-0.0459	4.963	0.0073
7.721	0.496	-0.0042	0.988	-0.009	1.577	0.0278	1.517	-0.0157	2.565	-0.0247	2.884	0.0472	4.371	-0.0075	4.164	0.0665	3.606	-0.0407	4.963	-0.0474
7.722	0.444	-0.0042	0.885	-0.009	1.853	0.0242	1.459	0	2.299	-0.0247	3.409	0.0496	4.002	-0.0347	4.778	0.0514	3.393	-0.009	4.963	-0.051
7.723	0.394	-0.0042	0.785	-0.0087	1.945	0.0019	1.607	0.0197	2.041	-0.0238	3.728	0.02	3.616	-0.0359	4.944	0.0006	3.616	0.0327	4.697	-0.0507
7.724	0.351	-0.0033	0.701	-0.0066	1.798	-0.0145	1.919	0.0327	1.851	-0.0133	3.601	-0.0244	3.232	-0.0359	4.581	-0.0386	4.213	0.065	4.181	-0.0495
7.725	0.333	0.0003	0.686	0.0024	1.626	-0.0154	2.28	0.0339	1.879	0.01	3.268	-0.0299	2.87	-0.0335	4.143	-0.041	4.963	0.0747	3.808	-0.0262
7.726	0.375	0.0064	0.78	0.0121	1.456	-0.0154	2.484	0.0118	2.15	0.0318	2.938	-0.0305	2.647	-0.0133	3.712	-0.0407	4.963	0.0429	3.86	0.0182
7.727	0.467	0.0106	0.955	0.0182	1.292	-0.0148	2.365	-0.0169	2.571	0.0429	2.615	-0.0299	2.755	0.0206	3.299	-0.0392	4.963	-0.0184	4.375	0.0595
7.728	0.575	0.01	1.134	0.016	1.158	-0.0105	2.145	-0.0196	2.977	0.0336	2.33	-0.0241	3.189	0.0484	3.011	-0.0193	4.963	-0.0453	4.963	0.081
7.729	0.608	0.0003	1.184	0	1.144	0.0037	1.926	-0.0196	3.08	0	2.233	-0.0012	3.786	0.0599	3.073	0.017	4.562	-0.0465	4.963	0.0656
7.73	0.559	-0.0039	1.086	-0.0084	1.296	0.0191	1.717	-0.0193	2.846	-0.0235	2.438	0.0275	4.303	0.0402	3.509	0.0505	4.076	-0.0459	4.963	0.0076
7.731	0.507	-0.0042	0.983	-0.009	1.568	0.0278	1.522	-0.016	2.568	-0.025	2.881	0.0472	4.372	-0.0069	4.164	0.0656	3.628	-0.0407	4.963	-0.0477
7.732	0.454	-0.0045	0.879	-0.0093	1.846	0.0245	1.459	-0.0003	2.302	-0.0244	3.407	0.0499	4.008	-0.0344	4.775	0.0514	3.409	-0.0099	4.963	-0.0507
7.733	0.404	-0.0042	0.78	-0.0084	1.943	0.0024	1.602	0.0194	2.043	-0.0241	3.73	0.0206	3.619	-0.0359	4.945	0.0009	3.624	0.0323	4.703	-0.051
7.734	0.358	-0.0036	0.698	-0.0063	1.799	-0.0145	1.913	0.0327	1.851	-0.0133	3.608	-0.0241	3.239	-0.0356	4.581	-0.0386	4.215	0.0641	4.184	-0.0492
7.735	0.338	0	0.687	0.0024	1.628	-0.0151	2.274	0.0339	1.875	0.0097	3.274	-0.0302	2.872	-0.0338	4.143	-0.0407	4.963	0.074	3.81	-0.0262
7.736	0.375	0.0058	0.782	0.0124	1.458	-0.0157	2.482	0.0121	2.145	0.0318	2.944	-0.0302	2.647	-0.0136	3.71	-0.0407	4.963	0.0429	3.862	0.0185
7.737	0.462	0.01	0.96	0.0182	1.295	-0.0148	2.367	-0.0172	2.563	0.0426	2.62	-0.0302	2.747	0.0194	3.298	-0.0392	4.963	-0.0181	4.377	0.0595
7.738	0.566	0.0097	1.139	0.016	1.161	-0.0102	2.146	-0.0193	2.97	0.0336	2.338	-0.0241	3.177	0.0481	3.009	-0.0199	4.963	-0.0456	4.963	0.0813
7.739	0.601	0.0003	1.189	0	1.149	0.004	1.928	-0.0199	3.077	0.0003	2.239	-0.0012	3.773	0.0595	3.069	0.017	4.562	-0.0468	4.963	0.0659
7.74	0.55	-0.0042	1.089	-0.009	1.302	0.0191	1.718	-0.0193	2.843	-0.0232	2.442	0.0272	4.29	0.0408	3.502	0.0499	4.079	-0.0462	4.963	0.0079
7.741	0.5	-0.0042	0.988	-0.009	1.573	0.0278	1.526	-0.016	2.566	-0.025	2.882	0.0466	4.367	-0.0066	4.156	0.0659	3.628	-0.0407	4.963	-0.0474
7.742	0.446	-0.0045	0.883	-0.0093	1.851	0.0245	1.464	0	2.299	-0.0244	3.404	0.0496	4.007	-0.0344	4.766	0.0511	3.407	-0.0099	4.963	-0.0507
7.743	0.397	-0.0039	0.785	-0.0087	1.949	0.0024	1.608	0.0194	2.042	-0.0241	3.723	0.02	3.619	-0.0365	4.937	0.0015	3.616	0.0321	4.708	-0.051
7.744	0.352	-0.0036	0.7	-0.0069	1.804	-0.0145	1.916	0.0327	1.846	-0.0133	3.599	-0.0241	3.236	-0.0356	4.579	-0.0386	4.207	0.0641	4.186	-0.0492
7.745	0.335	0.0006	0.685	0.0022	1.632	-0.0151	2.275	0.0336	1.87	0.0094	3.265	-0.0302	2.872	-0.0338	4.14	-0.0407	4.963	0.074	3.819	-0.0262
7.746	0.376	0.0064	0.775	0.0121	1.462	-0.0157	2.479	0.0121	2.137	0.0315	2.934	-0.0302	2.641	-0.0142	3.711	-0.041	4.963	0.0432	3.869	0.0185
7.747	0.468	0.0103	0.95	0.0182	1.299	-0.0148	2.366	-0.0172	2.556	0.0429	2.614	-0.0302	2.738	0.0191	3.297	-0.0389	4.963	-0.0175	4.382	0.0595
7.748	0.575	0.01	1.131	0.016	1.163	-0.0105	2.145	-0.0193	2.965	0.0342	2.326	-0.0241	3.166	0.0481	3.006	-0.0202	4.963	-0.045	4.963	0.0798
7.749	0.61	0.0003	1.184	0.0003	1.147	0.0037	1.928	-0.0202	3.079	0.0006	2.227	-0.0015	3.763	0.0595	3.06	0.0167	4.56	-0.0468	4.963	0.0653
7.75	0.559	-0.0039	1.086	-0.0084	1.297	0.0188	1.717	-0.0193	2.848	-0.0235	2.425	0.0272	4.285	0.0423	3.494	0.0499	4.077	-0.0462	4.963	0.007
7.751	0.507	-0.0042	0.984	-0.009	1.566	0.0278	1.522	-0.0163	2.574	-0.025	2.87	0.0469	4.377	-0.0054	4.144	0.0659	3.625	-0.0414	4.963	-0.0471
7.752	0.452	-0.0042	0.879	-0.009	1.844	0.0245	1.457	-0.0003	2.304	-0.0247	3.396	0.0502	4.019	-0.0344	4.763	0.0523	3.402	-0.0105	4.963	-0.051
7.753	0.404	-0.0042	0.782	-0.0087	1.943	0.0027	1.598	0.0191	2.048	-0.0241	3.727	0.0212	3.631	-0.0356	4.943	0.0024	3.606	0.0315	4.691	-0.0507
7.754	0.357	-0.0036	0.697	-0.0063	1.798	-0.0145	1.905	0.0327	1.849	-0.0139	3.61	-0.0235	3.248	-0.0359	4.591	-0.0383	4.192	0.0641	4.172	-0.0495
7.755	0.338	0	0.685	0.0022	1.627	-0.0151	2.268	0.0339	1.865	0.0088	3.277	-0.0296	2.883	-0.0335	4.15	-0.041	4.951	0.0743	3.802	-0.0259
7.756	0.374	0.0061	0.779	0.0124	1.457	-0.0154	2.481	0.0127	2.131	0.0311	2.946	-0.0308	2.647	-0.0148	3.72	-0.041	4.963	0.0441	3.854	0.0185
7.757	0.462	0.01	0.955	0.0182	1.294	-0.0148	2.371	-0.0172	2.55	0.0426	2.625	-0.0299	2.736	0.0185	3.305	-0.0395	4.963	-0.0166	4.372	0.0599
7.758	0.566	0.01	1.138	0.0167	1.16	-0.0105	2.15	-0.0193	2.962	0.0345	2.338	-0.0247	3.155	0.0472	3.011	-0.0205	4.963	-0.0453	4.963	0.081
7.759	0.599	0.0003	1.192	0.0003	1.145	0.0037	1.932	-0.0199	3.089	0.0019	2.235	-0.0018	3.753	0.0599	3.06	0.016	4.571	-0.0468	4.963	0.0662
7.76	0.55	-0.0039	1.098	-0.0084	1.296	0.0191	1.722	-0.0193	2.86	-0.0235	2.432	0.0266	4.282	0.0429	3.488	0.0499	4.087	-0.0456	4.963	0.0076
7.761	0.497	-0.0045	0.994	-0.0093	1.567	0.0278	1.527	-0.0163	2.583	-0.025	2.872	0.0472	4.384	-0.0042	4.139	0.0659	3.635	-0.0414	4.963	-0.0471
7.762	0.446	-0.0042	0.889	-0.009	1.846	0.0245	1.462	-0.0006	2.314	-0.0247	3.398	0.0496	4.031	-0.0344	4.762	0.0532	3.403	-0.0111	4.963	-0.051
7.763	0.396	-0.0042	0.791	-0.0087	1.948	0.0031	1.602	0.0191	2.056	-0.0241	3.728	0.0215	3.643	-0.0362	4.952	0.0034	3.605	0.0311	4.705	-0.0507
7.764	0.352	-0.0033	0.705	-0.0066	1.805	-0.0145	1.91	0.0323	1.856	-0.0139	3.614	-0.0232	3.259	-0.0359	4.601	-0.0383	4.186	0.0635	4.186	-0.0495
7.765	0.334	0	0.686	0.0015	1.633	-0.0154	2.272	0.0339	1.875	0.0088	3.281	-0.0299	2.893	-0.0338	4.162	-0.041	4.949	0.0747	3.815	-0.0259
7.766	0.375	0.0064	0.776	0.0118	1.463	-0.0154	2.484	0.0127	2.135	0.0305	2.95	-0.0305	2.655	-0.0151	3.73	-0.0407	4.963	0.0447	3.867	0.0185
7.767	0.466	0.01	0.948	0.0179	1.3	-0.0148	2.375	-0.0169	2.548	0.0426	2.627	-0.0299	2.739	0.0182	3.316	-0.0395	4.963	-0.0154	4.383	0.0595
7.768	0.573	0.0103	1.129	0.016	1.163	-0.0108	2.154	-0.0193	2.956	0.0342	2.342	-0.025	3.154	0.0466	3.02	-0.0205	4.963	-0.0453	4.963	0.081
7.769	0.611	0.0003	1.182	0.0003	1.145	0.0034	1.938	-0.0199	3.078	0.0019	2.233	-0.0021	3.745	0.0595	3.067	0.0157	4.584	-0.0462	4.963	0.0653
7.77	0.56	-0.0039	1.086	-0.0084	1.291	0.0185	1.725	-0.0196	2.848	-0.0235	2.43	0.0266	4.273	0.0426	3.489	0.049	4.099	-0.0462	4.963	0.0073
7.771	0.508	-0.0042	0.983	-0.0093	1.561	0.0278	1.529	-0.0163	2.575	-0.0247	2.865	0.0466	4.377	-0.0042	4.135	0.0656	3.645	-0.0414	4.963	-0.0477
7.772	0.456	-0.0042	0.88	-0.009	1.841	0.0248	1.46	-0.0012	2.305	-0.0247	3.39	0.0499	4.023	-0.0341	4.751	0.052	3.411	-0.0114	4.963	-0.0507
7.773	0.405	-0.0042	0.781	-0.009	1.946	0.0031	1.598	0.0185	2.048	-0.0241	3.721	0.0215	3.637	-0.0365	4.939	0.0031	3.607	0.0305	4.697	-0.051
7.774	0.361	-0.0036	0.698	-0.0063	1.804	-0.0145	1.902	0.0323	1.849	-0.0145	3.611	-0.0229	3.253	-0.0356	4.589	-0.0386	4.184	0.0629	4.179	-0.0492
7.775	0.338	-0.0003	0.682	0.0019	1.633	-0.0151	2.264	0.0339	1.857	0.0085	3.276	-0.0299	2.887	-0.0341	4.15	-0.0407	4.938	0.074	3.809	-0.0262
7.776	0.375	0.0061	0.776	0.0124	1.463	-0.0157	2.477	0.0127	2.117	0.0305	2.945	-0.0302	2.645	-0.0157	3.718	-0.0407	4.963	0.0444	3.863	0.0185
7.777	0.462	0.01	0.952	0.0182	1.3	-0.0148	2.371	-0.0169	2.535	0.0429	2.623	-0.0302	2.721	0.0173	3.305	-0.0392	4.963	-0.0154	4.38	0.0599
7.778	0.567	0.0097	1.135	0.0167	1.164	-0.0108	2.15	-0.0193	2.948	0.0354	2.338	-0.0244	3.133	0.0469	3.006	-0.0211	4.963	-0.0453	4.963	0.081
7.779	0.599	0.0003	1.192	0.0006	1.149	0.0037	1.933	-0.0199	3.086	0.0027	2.229	-0.0021	3.728	0.0599	3.048	0.0154	4.571	-0.0465	4.963	0.0653
7.78	0.549	-0.0042	1.1	-0.0087	1.297	0.0188	1.72	-0.0193	2.863	-0.0235	2.423	0.0266	4.268	0.0444	3.471	0.049	4.087	-0.0459	4.963	0.0073
7.781	0.497	-0.0039	0.994	-0.0093	1.566	0.0275	1.527	-0.0163	2.586	-0.0247	2.859	0.0463	4.388	-0.0024	4.12	0.0659	3.634	-0.0417	4.963	-0.0477
7.782	0.445	-0.0045	0.891	-0.0093	1.844	0.0245	1.458	-0.0009	2.32	-0.0247	3.385	0.0502	4.044	-0.0341	4.749	0.0535	3.396	-0.0117	4.963	-0.0507
7.783	0.397	-0.0042	0.792	-0.0084	1.948	0.0031	1.596	0.0188	2.061	-0.0241	3.722	0.0218	3.654	-0.0365	4.95	0.0046	3.585	0.0296	4.696	-0.0507
7.784	0.351	-0.0036	0.705	-0.0069	1.804	-0.0145	1.902	0.0323	1.858	-0.0145	3.616	-0.0223	3.272	-0.0356	4.607	-0.0383	4.162	0.0635	4.176	-0.0492
7.785	0.333	0.0003	0.685	0.0015	1.633	-0.0154	2.264	0.0339	1.864	0.0079	3.282	-0.0299	2.905	-0.0341	4.168	-0.0407	4.925	0.0747	3.808	-0.0259
7.786	0.373	0.0061	0.773	0.0118	1.463	-0.0157	2.479	0.0133	2.12	0.0303	2.951	-0.0302	2.657	-0.0163	3.738	-0.0407	4.963	0.0463	3.861	0.0185
7.787	0.466	0.0103	0.944	0.0182	1.299	-0.0148	2.378	-0.0169	2.534	0.0426	2.629	-0.0302	2.728	0.017	3.322	-0.0398	4.963	-0.0139	4.38	0.0599
7.788	0.572	0.01	1.128	0.0163	1.162	-0.0108	2.156	-0.0193	2.948	0.0357	2.342	-0.0247	3.133	0.0459	3.02	-0.0214	4.963	-0.045	4.963	0.081
7.789	0.61	0.0009	1.187	0.0009	1.143	0.0031	1.939	-0.0202	3.087	0.0037	2.23	-0.0027	3.727	0.0595	3.056	0.0145	4.595	-0.0468	4.963	0.0656
7.79	0.56	-0.0042	1.092	-0.0084	1.286	0.0185	1.726	-0.0193	2.869	-0.0232	2.419	0.0263	4.265	0.0447	3.474	0.0487	4.11	-0.0459	4.963	0.007
7.791	0.508	-0.0042	0.989	-0.009	1.551	0.0275	1.532	-0.0166	2.591	-0.0247	2.855	0.0466	4.392	-0.0015	4.118	0.0656	3.656	-0.042	4.963	-0.0471
7.792	0.455	-0.0048	0.885	-0.009	1.835	0.0254	1.458	-0.0012	2.324	-0.0247	3.382	0.0505	4.051	-0.0341	4.745	0.0535	3.411	-0.0124	4.963	-0.051
7.793	0.405	-0.0042	0.786	-0.0087	1.945	0.0034	1.593	0.0185	2.062	-0.0241	3.726	0.0224	3.66	-0.0359	4.95	0.0049	3.596	0.0293	4.697	-0.0507
7.794	0.359	-0.0036	0.7	-0.0066	1.805	-0.0145	1.894	0.0323	1.859	-0.0148	3.624	-0.022	3.277	-0.0362	4.609	-0.0383	4.164	0.0629	4.179	-0.0495
7.795	0.338	0	0.685	0.0022	1.633	-0.0154	2.259	0.0342	1.861	0.0076	3.292	-0.0299	2.909	-0.0338	4.17	-0.041	4.922	0.0743	3.808	-0.0259
7.796	0.374	0.0055	0.775	0.0121	1.463	-0.0154	2.478	0.0136	2.116	0.0303	2.961	-0.0302	2.657	-0.0169	3.738	-0.0407	4.963	0.0463	3.86	0.0185
7.797	0.461	0.01	0.949	0.0182	1.301	-0.0148	2.38	-0.0169	2.525	0.0423	2.638	-0.0299	2.721	0.0163	3.324	-0.0395	4.963	-0.0133	4.38	0.0602
7.798	0.565	0.01	1.131	0.0163	1.164	-0.0108	2.156	-0.0196	2.941	0.0357	2.348	-0.0253	3.122	0.0456	3.017	-0.0214	4.963	-0.045	4.963	0.081
7.799	0.602	0.0006	1.191	0.0012	1.146	0.0034	1.942	-0.0199	3.083	0.0034	2.238	-0.0024	3.712	0.0595	3.052	0.0145	4.596	-0.0465	4.963	0.0656
7.8	0.552	-0.0042	1.097	-0.009	1.292	0.0185	1.728	-0.0196	2.866	-0.0232	2.425	0.0257	4.256	0.0447	3.466	0.0484	4.11	-0.0462	4.963	0.0073
7.801	0.501	-0.0042	0.993	-0.009	1.562	0.0278	1.533	-0.0166	2.588	-0.0253	2.858	0.0463	4.386	-0.0012	4.11	0.0656	3.653	-0.042	4.963	-0.0474
7.802	0.446	-0.0042	0.889	-0.0093	1.842	0.0251	1.46	-0.0012	2.32	-0.0247	3.38	0.0499	4.051	-0.0341	4.737	0.0532	3.408	-0.013	4.963	-0.051
7.803	0.399	-0.0042	0.791	-0.0087	1.951	0.0037	1.596	0.0185	2.061	-0.0241	3.717	0.0221	3.659	-0.0356	4.945	0.0052	3.589	0.029	4.701	-0.0507
7.804	0.352	-0.0033	0.703	-0.0072	1.811	-0.0145	1.897	0.0321	1.855	-0.0148	3.616	-0.022	3.28	-0.0356	4.607	-0.0383	4.152	0.0623	4.183	-0.0495
7.805	0.335	0	0.682	0.0015	1.641	-0.0154	2.258	0.0342	1.856	0.0073	3.283	-0.0299	2.907	-0.0341	4.169	-0.0407	4.91	0.0743	3.813	-0.0259
7.806	0.373	0.0064	0.768	0.0115	1.469	-0.0154	2.477	0.0133	2.11	0.0303	2.951	-0.0305	2.654	-0.0169	3.736	-0.0407	4.963	0.0466	3.867	0.0185
7.807	0.463	0.0103	0.937	0.0182	1.306	-0.0148	2.378	-0.0166	2.519	0.0423	2.628	-0.0299	2.714	0.0157	3.322	-0.0395	4.963	-0.0126	4.383	0.0595
7.808	0.572	0.0103	1.123	0.017	1.168	-0.0108	2.156	-0.0196	2.94	0.036	2.342	-0.0253	3.113	0.0456	3.015	-0.022	4.963	-0.0453	4.963	0.081
7.809	0.608	0.0003	1.187	0.0012	1.145	0.0027	1.939	-0.0199	3.086	0.004	2.226	-0.0027	3.7	0.0595	3.045	0.0142	4.594	-0.0462	4.963	0.065
7.81	0.559	-0.0039	1.092	-0.0084	1.289	0.0182	1.728	-0.0196	2.871	-0.0229	2.411	0.0257	4.25	0.0459	3.456	0.0481	4.109	-0.0462	4.963	0.0067
7.811	0.507	-0.0045	0.99	-0.009	1.551	0.0275	1.531	-0.0163	2.596	-0.025	2.844	0.0466	4.393	-0.0003	4.099	0.0656	3.651	-0.042	4.963	-0.0477
7.812	0.454	-0.0042	0.885	-0.009	1.834	0.0251	1.456	-0.0018	2.327	-0.0247	3.373	0.0505	4.064	-0.0338	4.734	0.0544	3.403	-0.0133	4.963	-0.0507
7.813	0.404	-0.0042	0.79	-0.009	1.945	0.0037	1.587	0.0182	2.068	-0.0241	3.72	0.0233	3.67	-0.0359	4.949	0.0064	3.577	0.0287	4.684	-0.051
7.814	0.359	-0.0036	0.7	-0.0069	1.805	-0.0145	1.887	0.0321	1.859	-0.0154	3.63	-0.0214	3.289	-0.0356	4.619	-0.038	4.141	0.0623	4.168	-0.0492
7.815	0.336	-0.0003	0.683	0.0015	1.633	-0.0154	2.251	0.0345	1.855	0.007	3.294	-0.0299	2.918	-0.0341	4.18	-0.0407	4.898	0.0747	3.797	-0.0259
7.816	0.371	0.0058	0.772	0.0121	1.464	-0.0157	2.476	0.0139	2.101	0.0299	2.964	-0.0302	2.658	-0.0172	3.747	-0.0407	4.963	0.0481	3.853	0.0191
7.817	0.459	0.01	0.946	0.0182	1.301	-0.0148	2.382	-0.0163	2.513	0.0423	2.639	-0.0299	2.712	0.0148	3.332	-0.0398	4.963	-0.0121	4.372	0.0599
7.818	0.564	0.01	1.131	0.017	1.163	-0.0108	2.16	-0.0196	2.935	0.0363	2.351	-0.025	3.102	0.0451	3.021	-0.0226	4.963	-0.0447	4.963	0.0813
7.819	0.601	0.0003	1.195	0.0012	1.143	0.0031	1.943	-0.0196	3.092	0.0049	2.234	-0.0033	3.694	0.0595	3.044	0.0133	4.607	-0.0468	4.963	0.0659
7.82	0.552	-0.0036	1.104	-0.0084	1.288	0.0182	1.73	-0.0196	2.881	-0.0229	2.418	0.0257	4.245	0.0466	3.451	0.0481	4.122	-0.0459	4.963	0.0076
7.821	0.5	-0.0045	0.999	-0.0093	1.552	0.0278	1.535	-0.0166	2.605	-0.0247	2.848	0.0459	4.399	0.0009	4.094	0.0653	3.664	-0.0423	4.963	-0.0477
7.822	0.448	-0.0042	0.894	-0.009	1.838	0.0254	1.459	-0.0021	2.338	-0.0247	3.374	0.0505	4.073	-0.0338	4.733	0.0553	3.409	-0.0139	4.963	-0.0507
7.823	0.398	-0.0045	0.796	-0.009	1.951	0.0037	1.59	0.0182	2.077	-0.0241	3.722	0.023	3.682	-0.0362	4.956	0.007	3.577	0.0278	4.703	-0.051
7.824	0.352	-0.0033	0.707	-0.0069	1.812	-0.0145	1.89	0.0318	1.865	-0.0157	3.631	-0.0211	3.297	-0.0359	4.63	-0.038	4.137	0.062	4.183	-0.0489
7.825	0.334	0.0003	0.685	0.0012	1.642	-0.0154	2.255	0.0345	1.862	0.007	3.297	-0.0299	2.928	-0.0344	4.192	-0.0407	4.894	0.075	3.814	-0.0259
7.826	0.375	0.0064	0.768	0.0115	1.47	-0.0154	2.479	0.0142	2.105	0.0293	2.968	-0.0302	2.666	-0.0178	3.759	-0.0407	4.963	0.0487	3.865	0.0185
7.827	0.465	0.0103	0.935	0.0179	1.307	-0.0151	2.388	-0.0166	2.513	0.0423	2.643	-0.0302	2.715	0.0148	3.342	-0.0398	4.963	-0.0108	4.383	0.0595
7.828	0.573	0.0103	1.121	0.0167	1.168	-0.0114	2.165	-0.0196	2.929	0.036	2.353	-0.0253	3.098	0.0444	3.028	-0.0226	4.963	-0.0447	4.963	0.0807
7.829	0.611	0.0006	1.184	0.0015	1.144	0.0027	1.949	-0.0196	3.084	0.0052	2.233	-0.0036	3.686	0.0592	3.05	0.013	4.619	-0.0465	4.963	0.0653
7.83	0.564	-0.0039	1.092	-0.0084	1.284	0.0179	1.736	-0.0199	2.871	-0.0232	2.412	0.0254	4.234	0.0463	3.451	0.0475	4.133	-0.0459	4.963	0.0067
7.831	0.509	-0.0042	0.989	-0.0093	1.546	0.0275	1.54	-0.0166	2.598	-0.0244	2.842	0.0459	4.392	0.0012	4.091	0.065	3.674	-0.0423	4.963	-0.0471
7.832	0.457	-0.0045	0.886	-0.009	1.832	0.0254	1.459	-0.0021	2.328	-0.0247	3.367	0.0505	4.065	-0.0338	4.719	0.0544	3.417	-0.0145	4.963	-0.051
7.833	0.405	-0.0039	0.788	-0.009	1.949	0.0043	1.587	0.0179	2.071	-0.0241	3.716	0.0233	3.676	-0.0356	4.943	0.007	3.581	0.0278	4.694	-0.0507
7.834	0.361	-0.0039	0.7	-0.0069	1.812	-0.0145	1.885	0.0318	1.859	-0.0157	3.627	-0.0205	3.292	-0.0359	4.616	-0.0383	4.133	0.0614	4.174	-0.0495
7.835	0.338	0	0.68	0.0012	1.642	-0.0154	2.247	0.0345	1.847	0.0064	3.294	-0.0299	2.922	-0.0344	4.179	-0.0407	4.886	0.0743	3.808	-0.0259
